id,address,name,latitude,longitude,googleMapsUri,websiteUri,type,district
ChIJHZ-h19JdzpQRHxnY0OnoDhc,"R. Camberra, 456 - Vila Formosa, São Paulo",Escola de Educação Infantil Affectio Mater,-23.5658894,-46.5543291,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5dd2d7a19f1d:0x170ee8e9d0d8191f!10e5,https://colegioaffectiomater.com.br/,school,Vila Formosa São Paulo
ChIJm1NCYixczpQRG3CB59RAXhc,"R. Templários, 167 - Vila Formosa, São Paulo",Escola Estação do Pensar,-23.5650959,-46.5572665,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5c2c6242539b:0x175e40d4e781701b!10e5,,school,Vila Formosa São Paulo
ChIJM1XadQ5dzpQRAbYP8FdXLBY,"R. Nebulosa, 168-278 - Vila Formosa, São Paulo",Escola Estadual Gastão Strang,-23.5725769,-46.5463831,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5d0e75da5533:0x162c5757f00fb601!10e5,http://www.educacao.sp.gov.br/cgrh/escolas/gastao-strang-professor/,school,Vila Formosa São Paulo
ChIJnzMPa4xdzpQRlYiwWF2OAe8,"Av. Alberto Camus, 628 - Jardim Vila Formosa, São Paulo","Colégio “Magia, Folia & Cia.”",-23.5698587,-46.5221075,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5d8c6b0f339f:0xef018e5d58b08895!10e5,http://magiafoliaecia.com.br/,school,Vila Formosa São Paulo
ChIJ81knucNdzpQRXzyfGJ4rUDg,"R. Planalto, 15B - Vila Formosa, São Paulo","Colégio Nossa Senhora do Sagrado Coração - Berçário, Educação Infantil, Fundamental Anos Iniciais e Finais e Ensino Médio",-23.5666931,-46.5383602,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5dc3b92759f3:0x38502b9e189f3c5f!10e5,http://www.sagradocor.com.br/,school,Vila Formosa São Paulo
ChIJ9eXGso9dzpQRyqH4BiDg2qI,"Rua Bactória, 38 - Jardim Vila Formosa, São Paulo",ETEC de Vila Formosa,-23.5744219,-46.5242748,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5d8fb2c6e5f5:0xa2dae02006f8a1ca!10e5,https://etecvilaformosa.cps.sp.gov.br/,school,Vila Formosa São Paulo
ChIJUT_mvcVdzpQRbJ0Dqx5ESX0,"R. Saigon, 55 - Vila Formosa, São Paulo",Escola Estadual Orville Derby,-23.5679269,-46.5435866,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5dc5bde63f51:0x7d49441eab039d6c!10e5,http://www.educacao.sp.gov.br/cgrh/escolas/orville-derby/,school,Vila Formosa São Paulo
ChIJtbosXMVdzpQRPw3H0bvkM3I,"R. Tirana, 164 - Vila Formosa, São Paulo",Jardim Escola Girassol,-23.5655848,-46.5464248,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5dc55c2cbab5:0x7233e4bbd1c70d3f!10e5,,school,Vila Formosa São Paulo
ChIJF_qlW5JdzpQRKf-tpDR6NAo,"Av. Monsenhor Antônio Castro, 222 - Jardim Vila Formosa, São Paulo",EMEF Dr. João Naoki Sumita,-23.5711622,-46.5279957,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5d925ba5fa17:0xa347a34a4adff29!10e5,http://eolgerenciamento.prefeitura.sp.gov.br/frmgerencial/menuescola.aspx?Cod=095133,school,Vila Formosa São Paulo
ChIJN8Mi_6RYzpQR0yfPlCKf_Qw,"R. Marieta da Silva, 300 - Vila Guilherme, São Paulo",Berçário e Escola Santa Rita - Educação Infantil e Ensino Fundamental | Vila Guilherme,-23.5074506,-46.6060001,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce58a4ff22c337:0xcfd9f2294cf27d3!10e5,https://www.ebsantarita.com.br/,school,Vila Guilherme São Paulo
